Date,Occasion,Problems
04-11,Day 54,Find Minimum in Rotated Sorted Array; Search a 2D Matrix
05-11,Day 55,Search a 2D Matrix II; Find Peak Element
06-11,Day 56,Koko Eating Bananas; Time Based Key-Value Store
07-11,Dhanteras,HOLIDAY
08-11,Diwali,HOLIDAY
09-11,Bhai Dooj,HOLIDAY
10-11,Day 57,Search in Rotated Sorted Array II; Find First and Last Position of Element in Sorted Array
11-11,Day 58,Capacity To Ship Packages Within D Days; Find K Closest Elements
12-11,Day 59,Median of Two Sorted Arrays; Maximum Depth of Binary Tree
13-11,Day 60,Same Tree; Invert Binary Tree
14-11,Day 61,Symmetric Tree; Path Sum
15-11,Sunday,HOLIDAY
16-11,Day 62,Balanced Binary Tree; Minimum Depth of Binary Tree
17-11,Day 63,Binary Tree Preorder Traversal; Binary Tree Inorder Traversal
18-11,Day 64,Binary Tree Postorder Traversal; Convert Sorted Array to Binary Search Tree
19-11,Day 65,Range Sum of BST; Two Sum IV - Input is a BST
20-11,Day 66,Diameter of Binary Tree; Merge Two Binary Trees
21-11,Day 67,Binary Tree Level Order Traversal; Binary Tree Zigzag Level Order Traversal
22-11,Sunday,HOLIDAY
23-11,Day 68,Validate Binary Search Tree; Kth Smallest Element in a BST
24-11,Day 69,Lowest Common Ancestor of a Binary Search Tree; Lowest Common Ancestor of a Binary Tree
25-11,Day 70,Binary Tree Right Side View; Construct Binary Tree from Preorder and Inorder Traversal
26-11,Day 71,Populating Next Right Pointers in Each Node; Flatten Binary Tree to Linked List
27-11,Day 72,Path Sum II; Sum Root to Leaf Numbers
28-11,Day 73,Delete Node in a BST; Insert into a Binary Search Tree
29-11,Sunday,HOLIDAY
30-11,Day 74,Binary Search Tree Iterator; Count Good Nodes in Binary Tree
01-12,Day 75,Number of Islands; Max Area of Island
02-12,Day 76,Flood Fill; Clone Graph
03-12,Day 77,Course Schedule; Course Schedule II
04-12,Day 78,Pacific Atlantic Water Flow; Median of Two Sorted Arrays
05-12,Day 79,Surrounded Regions; Redundant Connection
06-12,Sunday,HOLIDAY
07-12,Day 80,Is Graph Bipartite?; 01 Matrix
08-12,Day 81,Evaluate Division; Number of Provinces
09-12,Day 82,Keys and Rooms; Trapping Rain Water
10-12,Day 83,Unique Paths; Unique Paths II
11-12,Day 84,Minimum Path Sum; Longest Common Subsequence
12-12,Day 85,Edit Distance; Interleaving String
13-12,Sunday,HOLIDAY
14-12,Day 86,Target Sum; Merge k Sorted Lists
15-12,Day 87,Longest Palindromic Subsequence; Maximal Square
16-12,Day 88,Triangle; Out of Boundary Paths
17-12,Day 89,Distinct Subsequences; Regular Expression Matching
18-12,Day 90,Wildcard Matching; N-Queens
19-12,Day 91,Task Scheduler; K Closest Points to Origin
20-12,Sunday,HOLIDAY
21-12,Day 92,Last Stone Weight; Kth Smallest Element in a Sorted Matrix
22-12,Day 93,Find Median from Data Stream; Reorganize String
23-12,Day 94,Ugly Number II; Sudoku Solver
24-12,Day 95,Number of Islands; Max Area of Island
25-12,Christmas,HOLIDAY
26-12,Day 96,Flood Fill; Clone Graph
27-12,Sunday,HOLIDAY
28-12,Day 97,Course Schedule; Course Schedule II
29-12,Day 98,Pacific Atlantic Water Flow; Word Search II
30-12,Day 99,Surrounded Regions; Redundant Connection
31-12,Day 100,Is Graph Bipartite?; 01 Matrix
